,buy_and_hold,atr18_screen,s1_soft_ema12
2024-06-20 06:00:00,1.0644562350175468,10172.160478146918,9856.98251179417
2024-06-20 07:00:00,1.0708561195074364,10172.160478146918,9856.98251179417
2024-06-20 08:00:00,1.068121046920942,10172.160478146918,9856.98251179417
2024-06-20 09:00:00,1.0685984366786225,10172.160478146918,9856.98251179417
2024-06-20 10:00:00,1.0765576426181578,10172.160478146918,9856.98251179417
2024-06-20 11:00:00,1.075913101405812,10172.160478146918,9856.98251179417
2024-06-20 12:00:00,1.072826002652635,10172.160478146918,9856.98251179417
2024-06-20 13:00:00,1.0592109638346365,10172.160478146918,9856.98251179417
2024-06-20 14:00:00,1.0561113449822288,10172.160478146918,9856.98251179417
2024-06-20 15:00:00,1.0541473153899175,10172.160478146918,9856.98251179417
2024-06-20 16:00:00,1.055070388160474,10172.160478146918,9856.98251179417
2024-06-20 17:00:00,1.0564040226265834,10172.160478146918,9856.98251179417
2024-06-20 18:00:00,1.0587778009209916,10172.160478146918,9856.98251179417
2024-06-20 19:00:00,1.0577044869596663,10172.160478146918,9856.98251179417
2024-06-20 20:00:00,1.0585173178175158,10172.160478146918,9856.98251179417
2024-06-20 21:00:00,1.0577119664994663,10172.160478146918,9856.98251179417
2024-06-20 22:00:00,1.0567280818183606,10172.160478146918,9856.98251179417
2024-06-20 23:00:00,1.0547775479174277,10172.160478146918,9856.419347363126
2024-06-21 00:00:00,1.0541598354891482,10172.160478146918,9852.97093132412
2024-06-21 01:00:00,1.0563708524935567,10172.160478146918,9852.97093132412
2024-06-21 02:00:00,1.0534118815091305,10172.160478146918,9852.97093132412
2024-06-21 03:00:00,1.04886139453418,10172.160478146918,9852.97093132412
2024-06-21 04:00:00,1.0515257366899557,10172.160478146918,9852.97093132412
2024-06-21 05:00:00,1.05138704000627,10172.160478146918,9852.97093132412
2024-06-21 06:00:00,1.0508369686335743,10172.160478146918,9852.97093132412
2024-06-21 07:00:00,1.0439101017851546,10172.160478146918,9852.97093132412
2024-06-21 08:00:00,1.0347722179323267,10172.160478146918,9852.97093132412
2024-06-21 09:00:00,1.0422576112853899,10172.160478146918,9852.97093132412
2024-06-21 10:00:00,1.0389409231800857,10172.160478146918,9852.97093132412
2024-06-21 11:00:00,1.03689185447222,10172.160478146918,9852.97093132412
2024-06-21 12:00:00,1.0378250083616376,10172.160478146918,9852.97093132412
2024-06-21 13:00:00,1.034374989329461,10172.160478146918,9852.97093132412
2024-06-21 14:00:00,1.0442549736094193,10172.160478146918,9852.97093132412
2024-06-21 15:00:00,1.0362743046426315,10172.160478146918,9852.97093132412
2024-06-21 16:00:00,1.0350592046224856,10172.160478146918,9852.97093132412
2024-06-21 17:00:00,1.0352827778230345,10172.160478146918,9852.97093132412
2024-06-21 18:00:00,1.0434284844615,10172.160478146918,9852.97093132412
2024-06-21 19:00:00,1.044404076609349,10172.160478146918,9852.97093132412
2024-06-21 20:00:00,1.0438920533304195,10172.160478146918,9852.97093132412
2024-06-21 21:00:00,1.042004445123023,10172.160478146918,9852.97093132412
